,데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
3470,2024-03-22 10:52,ICW0W2000926,9,3,137,290,27.9,22,55,90
3471,2024-03-22 10:52,ICW0W2000977,17,11,667,117,20,26,61,95
3472,2024-03-22 10:52,ICW0W2000933,17,5,613,128,22.5,23,54,96
3473,2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
3474,2024-03-22 10:52,ICW0W2000973,25,16,411,9,18.9,22,62,96
3475,2024-03-22 10:52,ICW0W2000972,30,19,591,85,19.9,20,57,93
3476,2024-03-22 10:52,ICW0W2000968,8,6,619,186,25.7,19,63,90
3477,2024-03-22 10:52,ICW0W2000944,2,1,1909,1266,20.8,34,75,71
3478,2024-03-22 10:52,ICW0W2000964,29,19,593,69,17.7,23,76,90
3479,2024-03-22 10:52,ICW0W2000924,145,50,656,20,21.1,24,86,76
3480,2024-03-22 10:52,ICW0W2000505,10,4,498,1462,22.5,23,71,78
3481,2024-03-22 10:52,V01T1623100,25,12,324,125,21.9,18,30,93
3482,2024-03-22 10:52,V01T1623130,15,7,418,125,28.9,10,33,87
3483,2024-03-22 10:52,V01T1623129,22,10,606,125,22.6,21,30,95
3484,2024-03-22 10:52,V01T1623123,13,6,506,128,23.8,17,30,94
3485,2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
3486,2024-03-22 10:51,V01T1623118,1,1,390,129,23.7,22,34,99
3487,2024-03-22 10:51,V01T1623117,14,7,454,147,23.2,17,30,94
3488,2024-03-22 10:52,V01T1623116,36,17,418,125,29.1,13,36,84
3489,2024-03-22 9:14,V01T1623113,8,4,427,125,23.9,12,30,95
3490,2024-03-22 9:10,V01T1623112,6,3,421,137,23.7,21,30,98
3491,2024-03-22 10:52,V01T1623109,48,21,2362,127,10.9,34,41,64
3492,2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
3493,2024-03-22 10:52,V01T1623105,38,17,430,125,20.7,17,30,90
3494,2024-03-22 10:52,V01T1623102,8,4,581,136,26.4,13,30,91
3495,2024-03-22 10:52,ICW0W2000503,8,2,488,104,22.2,26,67,98
3496,2024-03-22 10:52,ICW0W2000455,21,7,155,58,19.2,29,63,99
3497,2024-03-22 10:49,ICW0W2000447,8,2,536,275,21.4,27,51,96
3498,2024-03-22 10:52,ICW0W2000459,19,7,861,51,20.5,25,60,95
3499,2024-03-22 10:52,ICW0W2000507,6,3,716,58,23.5,23,55,98
3500,2024-03-22 10:52,ICW0W2000501,12,4,470,2647,19.5,25,69,76
3501,2024-03-22 10:52,ICW0W2000500,12,7,2500,90,29.1,19,62,68
3502,2024-03-22 10:52,ICW0W2000380,29,10,451,2123,16.5,30,51,72
3503,2024-03-22 10:52,ICW0W2000275,4,1,510,189,16.9,35,52,98
3504,2024-03-22 10:52,ICW0W2000388,15,5,646,363,19.2,28,47,93
3505,2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
3506,2024-03-21 16:09,ICW0W2000382,16,5,500,0,23.3,20,63,98
3507,2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
3508,2024-03-22 10:52,ICW0W2000287,12,3,1007,137,23.9,24,66,92
3509,2024-03-22 10:52,ICW0W2000398,22,7,619,86,21.9,24,63,96
3510,2024-03-22 10:52,ICW0W2000974,35,22,643,43,18.6,25,66,93
3511,2024-03-22 10:52,ICW0W2000248,5,2,2469,237,27.9,21,66,70
3512,2024-03-22 10:52,ICW0W2000262,28,9,492,22,17.1,28,57,93
3513,2024-03-22 10:51,ICW0W2100488,23,9,460,149,22.7,17,72,92
3514,2024-03-22 10:51,ICW0W2100506,1,0,88,5,14.1,24,60,95
3515,2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
3516,2024-03-22 10:51,ICW0W2100582,29,10,679,54,21.7,22,70,95
3517,2024-03-22 10:51,ICW0W2100579,12,5,0,1065,26.3,14,60,75
3518,2024-03-22 10:52,ICW0W2100562,29,15,591,398,23.6,15,63,87
3520,2024-03-22 13:56,ICW0W2100488,26,9,431,242,24.2,16,70,88
3521,2024-03-22 13:56,ICW0W2100506,26,9,463,54,23.2,22,73,96
3522,2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
3523,2024-03-22 13:56,ICW0W2100582,31,11,682,179,22.3,25,60,93
3524,2024-03-22 13:56,ICW0W2100579,8,3,0,291,27.8,14,64,88
3525,2024-03-22 13:57,ICW0W2100562,35,18,545,246,24.9,15,57,85
3526,2024-03-22 13:56,ICW0W2100560,11,4,880,6000,24.1,22,55,64
