데이터 시간,시리얼번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소 (ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
2024-05-10 10:14,ICW0W2000380,18,6,603,4202,21.1,44,57,78
2024-05-10 10:14,ICW0W2000275,5,1,597,116,23.0,41,50,100
2024-03-31 18:00,ICW0W2000388,4,1,418,150,18.2,34,47,99
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26.0,15,53,72
2024-03-21 16:09,ICW0W2000382,16,5,500,0,23.3,20,63,98
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-05-10 10:14,ICW0W2000287,12,4,518,29,21.4,41,50,100
2024-05-10 10:14,ICW0W2000398,19,6,366,30,21.7,37,69,100
2024-05-10 10:14,ICW0W2000974,24,14,711,6000,20.8,41,57,72
2024-05-10 10:14,ICW0W2000248,7,2,1707,114,24.0,35,65,84
2024-05-10 10:14,ICW0W2000262,21,6,575,33,21.6,43,60,100
2024-04-29 13:56,ICW0W2100488,17,6,514,74,23.6,27,70,97
2024-05-10 10:13,ICW0W2100506,0,0,94,15,33.3,23,57,92
2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-05-10 10:13,ICW0W2100582,27,10,564,25,23.3,36,63,100
2024-05-07 15:58,ICW0W2100579,4,0,0,244,26.1,33,69,96
2024-05-10 10:18,ICW0W2100562,16,9,589,260,25.7,29,59,91
2024-05-10 11:14,ICW0W2100481,19,7,647,4380,23.5,39,64,74
2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-05-10 11:14,ICW0W2100582,31,11,471,14,23.4,32,59,96
2024-05-07 15:58,ICW0W2100579,4,0,0,244,26.1,33,69,96
2024-05-10 11:19,ICW0W2100562,15,8,626,345,26.3,28,63,90
2024-05-10 11:14,ICW0W2100560,8,2,962,6000,23.8,36,56,71
2024-05-10 11:14,ICW0W2100549,27,10,363,9,23.6,30,71,97
2024-05-10 11:14,ICW0W2100509,18,6,197,6000,23.4,37,65,73
2024-05-10 11:14,ICW0W2100506,0,0,108,11,31.6,22,60,92
2024-05-03 12:55,ICW0W2100499,39,14,878,3614,24.6,33,77,66
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-04-30 13:06,ICW0W2100497,45,17,639,36,25.2,34,63,90
2024-05-10 11:21,ICW0W2100491,13,7,618,640,25.7,29,70,83
2024-04-30 11:47,ICW0W2100489,17,7,227,19,23.6,42,73,100
2024-04-29 13:56,ICW0W2100488,17,6,514,74,23.6,27,70,97
2024-04-29 17:13,ICW0W2100485,142,39,707,0,25.5,37,68,80
2024-05-10 11:15,ICW0W2100479,16,5,399,14,24.7,29,74,96
2024-05-10 11:14,ICW0W2100467,22,7,,2973,23.1,37,81,73
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-05-10 11:14,ICW0W2100462,25,9,69,33,23.0,32,61,99
2024-05-09 16:06,ICW0W2100460,17,6,703,0,22.5,36,72,100
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-05-09 15:24,ICW0W2100455,13,5,1381,0,23.5,38,64,88
2024-05-10 11:14,ICW0W2001000,27,13,89,74,21.6,41,76,100
2024-05-10 11:14,ICW0W2000996,23,22,301,36,21.8,31,51,96
2024-05-10 11:14,ICW0W2000991,29,20,534,53,21.8,33,75,94
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21.0,34,63,71
2024-05-09 18:19,ICW0W2000987,52,21,,84,22.2,35,58,96
2024-05-07 17:45,ICW0W2000983,0,0,111,109,18.1,46,70,100
2024-05-10 11:14,ICW0W2000978,27,17,320,37,21.2,32,47,96
2024-05-10 11:14,ICW0W2000977,24,15,468,75,23.6,34,57,95
2024-05-10 11:14,ICW0W2000974,35,23,710,2803,21.0,43,57,78
2024-05-10 11:14,ICW0W2000973,23,15,395,24,21.9,35,67,100
